d_spr_w_csr_name;d_spr_w_csr_code;2018;2019;2020;
" ""Координация реализации основных направлений градостроительной политики и строительства в городе Москве""";15Б0000000;6405844;5949504,2;5956170,2;
" ""Градостроительное проектирование и развитие единого геоинформационного пространства""";15В0000000;4245792,3;3900993;3904110,8;
" ""Развитие и реорганизация территорий""";15Г0000000;7539536,7;5055536,7;5664438,9;
" ""Разработка экономических механизмов реализации градостроительной политики для создания благоприятного инвестиционного климата""";15Д0000000;36395,3;30350,1;30350,1;
" ""Обеспечение инновационного развития строительной отрасли""";15Е0000000;264898,6;198080,2;199532,3;
" ""Нормативно-правовое и сметно-нормативное обеспечение градостроительной деятельности""";15Ж0000000;183882,6;183882,6;183882,6;
" ""Безопасный город""";1700000000;25129005,9;26808441,8;26207437,9;
" ""Обеспечение правопорядка и профилактика правонарушений""";17А0000000;12845458,8;13997293,2;14159546,3;
" ""Предупреждение чрезвычайных ситуаций, развитие гражданской обороны, защита населения и территорий города Москвы от чрезвычайных ситуаций природного и техногенного характера, обеспечение пожарной безопасности и безопасности людей на водных объектах""";17Б0000000;11950549,6;12478151,1;11714894,1;
" ""Мобилизационная подготовка экономики""";17В0000000;332997,5;332997,5;332997,5;
" ""Непрограммные направления деятельности органов государственной власти по руководству и управлению в сфере установленных функций органов государственной власти города Москвы""";3100000000;51578051;50483391;50127882,2;
" ""Уполномоченный по защите прав предпринимателей в городе Москве и его аппарат""";3130000000;37004,6;37305;37926,2;
" ""Представительные органы государственной власти""";31А0000000;1470222,4;1466440,4;1457855,8;
" ""Исполнительные органы государственной власти города Москвы""";31Б0000000;45727215,1;44818666;44465338,1;
" ""Московская городская избирательная комиссия""";31В0000000;168617,9;174916,3;169508,2;
" ""Контрольно-счетная палата Москвы""";31Г0000000;364528,3;362738,4;360671,1;
" ""Уполномоченный по правам человека в городе Москве и его аппарат""";31Д0000000;64280,6;63766,1;63436,7;
" ""Фонды Мэра Москвы для стимулирования""";31Е0000000;1120000;1120000;1120000;
" ""Организация охраны объектов, занимаемых органами государственной власти города Москвы""";31Ж0000000;900295,6;900595,6;900595,6;
" ""Оказание государственными учреждениями государственных услуг, выполнение работ по обеспечению деятельности государственных органов города Москвы""";31И0000000;1725886,5;1538963,2;1552550,5;
" ""Резервный фонд, предусмотренный в бюджете города Москвы""";3200000000;60000000;60000000;45000000;
" ""Резервный фонд, предусмотренный в бюджете города Москвы""";32А0000000;60000000;60000000;45000000;
" ""Непрограммные направления деятельности органов государственной власти в части предоставления межбюджетных трансфертов""";3300000000;938447,3;938447,3;938447,3;
" ""Непрограммные направления деятельности органов государственной власти в части предоставления межбюджетных трансфертов бюджетам внутригородских муниципальных образований""";33А0000000;938447,3;938447,3;938447,3;
" ""Мероприятия по осуществлению капитальных вложений, не включенные в государственные программы города Москвы""";3400000000;2977961,6;4885894,6;37983375,2;
" ""Мероприятия по осуществлению капитальных вложений, не включенные в государственные программы города Москвы""";34А0000000;2977961,6;4885894,6;37983375,2;
" ""Прочие непрограммные направления деятельности органов государственной власти""";3500000000;82477553,7;83734424,9;68847535,7;
" ""Расходы на охрану труда и обеспечение занятости населения""";3530000000;39450;39450;39450;
" ""Прочие непрограммные направления деятельности органов государственной власти при проведении выборов и референдумов""";35А0000000;1037226,3;715619,3;153046,4;
" ""Прочие непрограммные направления деятельности органов государственной власти в рамках международного сотрудничества""";35Б0000000;1391755,3;1224183,3;1224183,3;
" ""Другие расходы по оказанию государственных услуг""";35В0000000;4313391,5;4408156;4678835,2;
" ""Прочие непрограммные направления деятельности органов государственной власти при реализации государственных функций, связанных с общегосударственным управлением""";35Г0000000;14537806,6;14372753,2;14340118;
" ""Расходы на обслуживание государственного долга""";35Д0000000;3258081;4793782,3;4798488;
" ""Прочие направления деятельности префектур административных округов города Москвы, не включенные в государственные программы города Москвы""";35Е0000000;3613965;3498144,1;3498144,1;
" ""Расходы, связанные с эксплуатацией информационных систем и ресурсов""";35И0000000;119078;115136,7;115270,7;
" ""Финансовое обеспечение вопросов, связанных с осуществлением городом Москвой функций столицы Российской Федерации, а также с полномочиями органов государственной власти города Москвы по предметам совместного ведения, установленным законодательством Российской Федерации""";35К0000000;54166800;54567200;40000000;
